L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 3.0, 1, 5, 15, 32, 0.435
40, 10.0, 1, 12, 15, 32, 0.76
40, 8.5, 1, 5, 15, 32, 0.521176470588
40, 4.0, 1, 11, 15, 32, 0.400882352941
40, 6.5, 1, 11, 15, 32, 0.386470588235
40, 9.0, 1, 16, 15, 32, 0.630588235294
40, 9.0, 1, 7, 15, 32, 0.601764705882
40, 0.0, 1, 3, 15, 32, 0.405294117647
40, 1.5, 1, 5, 15, 32, 0.427058823529
40, 2.0, 1, 14, 15, 32, 0.381764705882
40, 2.0, 1, 18, 15, 32, 0.377352941176
40, 2.0, 1, 3, 15, 32, 0.416470588235
40, 9.5, 1, 8, 15, 32, 0.688235294118
40, 0.0, 1, 13, 15, 32, 0.427941176471
40, 1.0, 1, 4, 15, 32, 0.422352941176
40, 9.5, 1, 15, 15, 32, 0.690294117647
40, 2.5, 1, 11, 15, 32, 0.394117647059
40, 1.5, 1, 16, 15, 32, 0.362352941176
40, 6.5, 1, 5, 15, 32, 0.409705882353
40, 7.5, 1, 12, 15, 32, 0.470294117647
40, 10.0, 1, 20, 15, 32, 0.712058823529
40, 0.5, 1, 3, 15, 32, 0.405
40, 4.0, 1, 10, 15, 32, 0.383235294118
40, 4.0, 1, 6, 15, 32, 0.397647058824
40, 9.0, 1, 17, 15, 32, 0.636470588235
40, 3.5, 1, 12, 15, 32, 0.395294117647
40, 3.0, 1, 3, 15, 32, 0.412647058824
40, 9.0, 1, 20, 15, 32, 0.604411764706
40, 3.0, 1, 13, 15, 32, 0.383529411765
40, 3.0, 1, 18, 15, 32, 0.391470588235
40, 7.5, 1, 19, 15, 32, 0.483823529412
40, 2.0, 1, 12, 15, 32, 0.382352941176
40, 1.0, 1, 5, 15, 32, 0.443823529412
40, 1.0, 1, 9, 15, 32, 0.426764705882
40, 0.5, 1, 19, 15, 32, 0.391470588235
40, 6.5, 1, 9, 15, 32, 0.424411764706
40, 6.0, 1, 2, 15, 32, 0.436764705882
40, 0.5, 1, 16, 15, 32, 0.381470588235
40, 5.5, 1, 9, 15, 32, 0.381470588235
40, 9.5, 1, 14, 15, 32, 0.676764705882
40, 0.5, 1, 6, 15, 32, 0.411470588235
40, 5.5, 1, 13, 15, 32, 0.387058823529
40, 9.5, 1, 13, 15, 32, 0.686764705882
40, 3.0, 1, 10, 15, 32, 0.397647058824
40, 3.0, 1, 1, 15, 32, 0.409117647059
40, 2.0, 1, 11, 15, 32, 0.419117647059
40, 8.0, 1, 14, 15, 32, 0.463529411765
40, 1.0, 1, 10, 15, 32, 0.445294117647
40, 7.5, 1, 5, 15, 32, 0.460588235294
40, 8.0, 1, 4, 15, 32, 0.5
40, 7.0, 1, 19, 15, 32, 0.439705882353
40, 7.0, 1, 18, 15, 32, 0.451764705882
40, 7.0, 1, 15, 15, 32, 0.457352941176
40, 7.5, 1, 20, 15, 32, 0.498529411765
40, 7.0, 1, 16, 15, 32, 0.421470588235
40, 2.5, 1, 2, 15, 32, 0.424117647059
40, 5.5, 1, 5, 15, 32, 0.378235294118
40, 0.0, 1, 7, 15, 32, 0.426176470588
40, 0.0, 1, 1, 15, 32, 0.397941176471
40, 5.0, 1, 14, 15, 32, 0.396764705882
40, 4.5, 1, 6, 15, 32, 0.406764705882
40, 5.0, 1, 9, 15, 32, 0.358235294118
40, 7.5, 1, 9, 15, 32, 0.426764705882
40, 4.5, 1, 11, 15, 32, 0.383235294118
40, 4.0, 1, 15, 15, 32, 0.372058823529
40, 3.5, 1, 20, 15, 32, 0.395882352941
40, 0.0, 1, 18, 15, 32, 0.396470588235
40, 2.5, 1, 17, 15, 32, 0.382647058824
40, 6.0, 1, 12, 15, 32, 0.391764705882
40, 3.0, 1, 14, 15, 32, 0.379117647059
40, 8.0, 1, 9, 15, 32, 0.529411764706
40, 8.0, 1, 18, 15, 32, 0.499411764706
40, 0.0, 1, 4, 15, 32, 0.393235294118
40, 7.0, 1, 10, 15, 32, 0.433235294118
40, 7.0, 1, 6, 15, 32, 0.42
40, 1.0, 1, 1, 15, 32, 0.407058823529
40, 7.0, 1, 17, 15, 32, 0.440588235294
40, 9.5, 1, 3, 15, 32, 0.614411764706
40, 6.0, 1, 11, 15, 32, 0.388823529412
40, 6.0, 1, 7, 15, 32, 0.388529411765
40, 5.0, 1, 3, 15, 32, 0.423823529412
40, 0.5, 1, 17, 15, 32, 0.408529411765
40, 0.0, 1, 11, 15, 32, 0.392352941176
40, 5.0, 1, 10, 15, 32, 0.387941176471
40, 5.0, 1, 6, 15, 32, 0.395588235294
40, 2.5, 1, 6, 15, 32, 0.388823529412
40, 1.5, 1, 3, 15, 32, 0.406764705882
40, 0.0, 1, 10, 15, 32, 0.429411764706
40, 2.5, 1, 18, 15, 32, 0.370882352941
40, 0.5, 1, 4, 15, 32, 0.412941176471
40, 9.5, 1, 4, 15, 32, 0.632352941176
40, 3.5, 1, 5, 15, 32, 0.400882352941
40, 3.5, 1, 17, 15, 32, 0.375294117647
40, 9.0, 1, 10, 15, 32, 0.630294117647
40, 0.0, 1, 19, 15, 32, 0.402352941176
40, 8.0, 1, 6, 15, 32, 0.506176470588
40, 3.5, 1, 1, 15, 32, 0.415
40, 8.0, 1, 11, 15, 32, 0.505588235294
40, 0.0, 1, 12, 15, 32, 0.411176470588
40, 7.0, 1, 7, 15, 32, 0.401176470588
40, 7.0, 1, 2, 15, 32, 0.422058823529
40, 6.5, 1, 18, 15, 32, 0.405
40, 6.0, 1, 6, 15, 32, 0.414705882353
40, 0.0, 1, 5, 15, 32, 0.440294117647
